datetime,tmp,v850,t925,p,t750,v750,v500,u850,u925,u750,u,t500,v,v925,t995,rh,u500,t850
2015-10-07 02:00:00,19.05,5.49,17.85,101020.0,6.75,2.95,3.13,3.95,5.84,2.74,1.02,-14.25,2.73,6.65,19.96,56.3,4.84,13.55
2015-10-07 05:00:00,18.25,5.3,17.65,100961.0,6.85001,1.88,-1.86,4.32,4.46,4.27,0.45,-15.05,1.77,5.06,19.81,60.1,3.77,13.25
2015-10-07 08:00:00,19.65,6.52,16.85,101074.0,6.85001,-1.39,-1.22,5.98,4.94,5.04,0.98,-16.05,1.6,8.2,19.1,53.8,2.36,13.15
2015-10-07 11:00:00,24.11,5.72,16.45,100974.0,7.15002,-0.98,-3.8,6.09,5.12,4.74,2.35,-16.15,3.22,6.26,22.72,46.0,5.43,13.15
2015-10-07 14:00:00,27.04,1.58,18.65,100832.0,6.75,-3.6,-4.97,4.7,4.43,4.59,3.43,-16.25,4.36,5.87,25.61,30.6,9.35,13.35
2015-10-07 17:00:00,25.45,-3.71,19.95,100810.0,5.65002,-6.76,-5.94,5.86,6.61,7.17,2.4,-16.55,3.1,3.22,25.82,32.2,12.33,13.65
2015-10-07 20:00:00,22.05,-10.07,19.45,101071.0,3.95001,-5.1,-6.5,5.3,6.43,6.29,4.62,-17.05,-2.81,-12.54,23.15,32.4,17.15,13.15
2015-10-07 23:00:00,19.75,-13.3,14.85,101336.0,3.25,-1.11,-0.51,8.29,5.42,5.97,3.04,-17.45,-9.84,-19.53,20.08,18.7,21.36,9.85001
2015-10-08 02:00:00,16.25,-16.67,10.85,101453.0,2.05002,4.37,0.87,11.38,4.63,12.83,2.26,-18.45,-9.95,-21.26,16.41,21.7,19.5,6.65002
2015-10-08 05:00:00,13.85,-17.98,9.35001,101671.0,0.950012,-4.39,-2.21,4.91,1.99,11.57,1.99,-19.15,-6.37,-17.0,14.45,24.8,19.5,3.75
2015-10-08 08:00:00,14.98,-15.9,7.65002,101822.0,-0.949982,-12.42,-1.78,3.47,3.56,8.55,3.67,-21.15,-6.75,-13.07,14.38,24.3,18.6,2.15002
