aqi,aqi_last,tmp,tmp_last,v850,v850_last,t925,t925_last,p,p_last,t750,t750_last,v750,v750_last,v500,v500_last,u850,u850_last,u925,u925_last,u750,u750_last,u,u_last,t500,t500_last,v,v_last,v925,v925_last,t995,t995_last,rh,rh_last,u500,u500_last,t850,t850_last,season_fall,season_spring,season_summer,season_winter,t_diff,t_diff_last
66.0,67.0,15.15,16.65,-7.15,-6.07,4.35001,4.55002,100836.0,100807.0,-10.95,-11.25,-8.24,-7.5,-19.9,-9.9,3.17,4.54,1.22,1.25,4.49,5.75,-0.26,-0.84,-44.75,-44.65,-0.85,1.06,-4.23,-4.46,20.02,20.02,43.6,42.3,37.8,34.5,-3.25,-3.54999,0,0,1,0,-4.869999999999999,-3.370000000000001
83.0,66.0,23.95,15.15,-6.85,-7.15,4.25,4.35001,100902.0,100836.0,-10.45,-10.95,-9.75,-8.24,-24.23,-19.9,-0.8,3.17,0.33,1.22,1.83,4.49,-0.24,-0.26,-43.95,-44.75,-1.45,-0.85,-5.12,-4.23,22.41,20.02,30.2,43.6,45.2,37.8,-2.54999,-3.25,0,0,1,0,1.5399999999999991,-4.869999999999999
80.0,83.0,29.65,23.95,-4.99,-6.85,4.35001,4.25,100808.0,100902.0,-10.75,-10.45,-9.28,-9.75,-18.39,-24.23,-0.99,-0.8,-0.57,0.33,0.94,1.83,-1.1,-0.24,-43.85,-43.95,-0.01,-1.45,-4.06,-5.12,26.09,22.41,23.5,30.2,41.3,45.2,-2.34998,-2.54999,0,0,1,0,3.5599999999999987,1.5399999999999991
62.0,80.0,30.15,29.65,-4.57,-4.99,4.45001,4.35001,100701.0,100808.0,-11.05,-10.75,-8.73,-9.28,-9.29,-18.39,-0.25,-0.99,-0.24,-0.57,1.79,0.94,-0.84,-1.1,-43.25,-43.85,1.1,-0.01,-4.64,-4.06,27.22,26.09,21.4,23.5,38.6,41.3,-2.04999,-2.34998,0,0,1,0,2.9299999999999997,3.5599999999999987
135.0,62.0,30.35,30.15,-5.17,-4.57,5.25,4.45001,100593.0,100701.0,-10.95,-11.05,-7.98,-8.73,-8.67,-9.29,0.17,-0.25,-0.81,-0.24,2.7,1.79,0.15,-0.84,-42.05,-43.25,2.31,1.1,-5.94,-4.64,28.74,27.22,20.2,21.4,39.3,38.6,-1.34998,-2.04999,0,0,1,0,1.610000000000003,2.9299999999999997
67.0,135.0,23.95,30.35,-4.15,-5.17,5.95001,5.25,100655.0,100593.0,-10.65,-10.95,-7.23,-7.98,-8.63,-8.67,-0.84,0.17,-3.73,-0.81,2.25,2.7,1.49,0.15,-42.55,-42.05,3.99,2.31,-2.83,-5.94,24.62,28.74,19.6,20.2,35.3,39.3,-1.54999,-1.34998,0,0,1,0,-0.6700000000000017,1.610000000000003
45.0,67.0,21.25,23.95,-4.1,-4.15,5.45001,5.95001,100758.0,100655.0,-10.55,-10.65,-5.99,-7.23,-9.17,-8.63,-0.52,-0.84,-2.74,-3.73,2.2,2.25,2.29,1.49,-43.25,-42.55,2.89,3.99,-1.83,-2.83,22.24,24.62,19.7,19.6,32.2,35.3,-1.4499799999999998,-1.54999,0,0,1,0,-0.9899999999999984,-0.6700000000000017
60.0,45.0,19.25,21.25,-3.25,-4.1,5.35001,5.45001,100718.0,100758.0,-10.95,-10.55,-3.3,-5.99,-10.5,-9.17,0.81,-0.52,-1.71,-2.74,3.35,2.2,2.05,2.29,-44.15,-43.25,1.5,2.89,-2.37,-1.83,21.12,22.24,22.8,19.7,28.8,32.2,-1.54999,-1.4499799999999998,0,0,1,0,-1.870000000000001,-0.9899999999999984
100.0,60.0,16.35,19.25,-3.73,-3.25,5.35001,5.35001,100695.0,100718.0,-10.95,-10.95,-3.0,-3.3,-10.9,-10.5,0.57,0.81,-2.64,-1.71,5.0,3.35,1.09,2.05,-44.95,-44.15,0.97,1.5,-2.63,-2.37,21.14,21.12,29.3,22.8,28.0,28.8,-1.84998,-1.54999,0,0,1,0,-4.789999999999999,-1.870000000000001
104.0,100.0,24.95,16.35,-3.39,-3.73,5.15002,5.35001,100707.0,100695.0,-10.55,-10.95,-3.63,-3.0,-10.89,-10.9,0.53,0.57,-2.49,-2.64,4.79,5.0,0.92,1.09,-45.25,-44.95,1.43,0.97,-3.25,-2.63,23.57,21.14,18.5,29.3,26.2,28.0,-2.1499900000000003,-1.84998,0,0,1,0,1.379999999999999,-4.789999999999999
