datetime,aqi,pm2_5,pm10,co,no2,o3,so2,month,quarter,hour,season,tmp,v850,t925,p,t750,v750,v500,u850,u925,u750,u,t500,v,v925,t995,rh,u500,t850
2016-06-01 02:00:00,67.0,21.0,84.0,0.9,32.0,40.0,8.0,6,2,2,summer,16.65,-6.07,4.55002,100807.0,-11.25,-7.5,-9.9,4.54,1.25,5.75,-0.84,-44.65,1.06,-4.46,20.02,42.3,34.5,-3.54999
2016-06-01 05:00:00,66.0,28.0,81.0,0.8,36.0,18.0,5.0,6,2,5,summer,15.15,-7.15,4.35001,100836.0,-10.95,-8.24,-19.9,3.17,1.22,4.49,-0.26,-44.75,-0.85,-4.23,20.02,43.6,37.8,-3.25
2016-06-01 08:00:00,83.0,41.0,116.0,0.9,81.0,10.0,10.0,6,2,8,summer,23.95,-6.85,4.25,100902.0,-10.45,-9.75,-24.23,-0.8,0.33,1.83,-0.24,-43.95,-1.45,-5.12,22.41,30.2,45.2,-2.54999
2016-06-01 11:00:00,80.0,37.0,110.0,0.9,59.0,60.0,10.0,6,2,11,summer,29.65,-4.99,4.35001,100808.0,-10.75,-9.28,-18.39,-0.99,-0.57,0.94,-1.1,-43.85,-0.01,-4.06,26.09,23.5,41.3,-2.34998
2016-06-01 14:00:00,62.0,44.0,58.0,0.6,33.0,140.0,9.0,6,2,14,summer,30.15,-4.57,4.45001,100701.0,-11.05,-8.73,-9.29,-0.25,-0.24,1.79,-0.84,-43.25,1.1,-4.64,27.22,21.4,38.6,-2.04999
2016-06-01 17:00:00,135.0,103.0,,0.6,15.0,197.0,8.0,6,2,17,summer,30.35,-5.17,5.25,100593.0,-10.95,-7.98,-8.67,0.17,-0.81,2.7,0.15,-42.05,2.31,-5.94,28.74,20.2,39.3,-1.34998
2016-06-01 20:00:00,67.0,27.0,67.0,0.6,23.0,173.0,8.0,6,2,20,summer,23.95,-4.15,5.95001,100655.0,-10.65,-7.23,-8.63,-0.84,-3.73,2.25,1.49,-42.55,3.99,-2.83,24.62,19.6,35.3,-1.54999
2016-06-01 23:00:00,45.0,31.0,44.0,0.7,40.0,95.0,8.0,6,2,23,summer,21.25,-4.1,5.45001,100758.0,-10.55,-5.99,-9.17,-0.52,-2.74,2.2,2.29,-43.25,2.89,-1.83,22.24,19.7,32.2,-1.4499799999999998
2016-06-02 02:00:00,60.0,43.0,65.0,0.7,46.0,40.0,4.0,6,2,2,summer,19.25,-3.25,5.35001,100718.0,-10.95,-3.3,-10.5,0.81,-1.71,3.35,2.05,-44.15,1.5,-2.37,21.12,22.8,28.8,-1.54999
2016-06-02 05:00:00,100.0,53.0,150.0,0.6,68.0,7.0,3.0,6,2,5,summer,16.35,-3.73,5.35001,100695.0,-10.95,-3.0,-10.9,0.57,-2.64,5.0,1.09,-44.95,0.97,-2.63,21.14,29.3,28.0,-1.84998
